Year,Mammals,Birds,Reptiles,Amphibians,Fishes,Insects,Molluscs,Other invertebrates,Plants,Fungi & protists,TOTAL
2024,241,223,430,798,867,436,745,329,6117,49,10235
2023,235,232,434,795,834,429,728,321,5723,50,9760
2022,233,233,433,722,792,425,725,314,5336,38,9251
2021,229,225,433,673,739,408,717,290,4976,32,8722
2020,221,223,324,650,686,347,682,282,4337,30,7674
2019,203,225,309,588,592,311,667,270,3229,19,6413
2018,201,224,287,550,486,300,633,252,2879,14,5826
2017,202,222,266,552,486,273,625,243,2722,10,5823
2016,204,225,237,546,461,226,586,211,2506,8,5218
2015,209,218,180,528,446,176,576,209,2347,5,4894
2014,213,213,174,518,413,125,576,205,2347,4,4631
2013,196,198,164,520,413,125,553,154,1957,2,4282
2012,196,197,144,509,415,119,549,132,1821,2,4090
2011,194,189,137,498,413,91,487,132,1731,2,3875
2010,188,190,106,486,376,89,373,132,1619,2,3561
2009,188,192,93,484,306,89,291,99,1577,2,3413
2008,188,190,86,475,289,70,268,86,1575,2,3224
2007,163,189,79,441,254,69,268,86,1569,2,3107
2006,162,181,73,442,254,68,265,84,1541,2,3082
2004,162,179,64,413,171,47,265,61,1541,2,2833
2003,184,182,57,30,162,46,250,61,1276,1,2241
2002,181,182,55,30,157,45,222,59,1046,0,1979
2000,180,182,56,25,156,45,222,59,1014,0,1939
1998,169,168,41,18,157,44,257,57,909,0,1820
